~     MAC: 00-17-0d-00-00-32-dc-61
~  Status: DISCONNECTED
~   Coord: (None,None)
~ User ID: None
-- 03/11/2022
00:50:39, 2375, 0, 1000
00:50:49, 2379, 4705, 0
00:51:00, 2385, 0, 0
00:51:11, 2391, 4741, 1000
00:51:21, 2394, 0, 0
00:51:32, 2398, 4646, 0
00:51:43, 2405, 0, 1000
00:51:53, 2411, 4575, 0
00:52:04, 2416, 0, 0
00:52:15, 2419, 4541, 1000
00:52:25, 2421, 0, 0
00:52:36, 2424, 4780, 0
00:52:47, 2428, 0, 1000
00:52:57, 2431, 4783, 0
00:53:08, 2435, 0, 0
00:53:19, 2440, 4883, 1000
00:53:29, 2442, 0, 0
00:53:40, 2447, 4878, 0
13:44:05, 2419, 5364, 0
13:44:16, 2417, 0, 1000
13:44:27, 2420, 5081, 0
13:44:37, 2420, 0, 0
13:44:48, 2421, 5049, 1000
13:44:59, 2423, 0, 0
13:45:09, 2426, 5020, 0
13:45:20, 2430, 0, 1000
13:45:31, 2430, 5130, 0
13:45:41, 2428, 0, 0
13:45:52, 2430, 5039, 1000
13:46:03, 2431, 0, 0
13:46:13, 2433, 5005, 0
13:46:24, 2436, 0, 1000
13:46:35, 2438, 4939, 0
13:46:45, 2439, 0, 0
13:46:56, 2439, 4971, 1000
13:47:07, 2443, 0, 0
13:47:17, 2443, 4983, 0
13:47:28, 2442, 0, 1000
13:47:39, 2443, 5003, 0
13:47:49, 2446, 0, 0
13:48:00, 2444, 4988, 1000
13:48:11, 2447, 0, 0
13:48:21, 2449, 5081, 0
13:48:32, 2450, 0, 1000
13:48:43, 2450, 5076, 0
13:48:53, 2450, 0, 0
13:49:04, 2451, 4983, 1000
